Rf,Rf2,2Rf2,3Rf2,Rf3,2Rf3,3Rf3,Rf4,2Rf4,3Rf4,Rf5,2Rf5,3Rf5,Rf6,2Rf6,3Rf6,Rf7,2Rf7,3Rf7,Rf8,2Rf8,3Rf8,He1,Me1,Ku1,He2,Me2,Ku2,He3,Me3,Ku3,He4,Me4,Ku4,He5,Me5,Ku5,He6,Me6,Ku6,He7,Me7,Ku7,He8,Me8,Ku8
24.000192,0.0006831783086543875,0.0009061934315117696,0.001136665977158829,0.0026172420916800716,0.0010139873352176295,0.00044540972701720427,0.0005997899024026718,0.0002844443034947336,0.0003558260702653825,0.042055546681218005,0.005808073153545084,0.002232896199548422,0.001060087735366672,0.00009965635672514707,0.00017186896201765682,0.011005238284040087,0.0024210031922152226,0.0010050953693968552,0.0005104700073043259,0.0011671687908993283,0.00007772029791450855,0.8982738702869746,0.3812781572341919,4.304768670131059,2.018721177225242,0.3806026875972748,-1.0657403233977127,1.6393173705760096,0.38084855675697327,-0.7259469921869464,1.6487402632135464,0.3809645473957062,-0.3774443450990601,1.8787256675253903,0.38469335436820984,-0.3871448250104037,1.988328935138239,0.3813077509403229,-0.7674564145569915,1.7505319655477198,0.38152769207954407,-0.250984454750649,1.7241565779068366,0.38189685344696045,0.06531051369373575
25.600205,0.0027645447135370765,0.0024091913375403635,0.002534555470004061,0.004332892005896253,0.0006614716327223929,0.0005341002353505628,0.00042259814917913714,0.00027160474314128066,0.00011786810566517285,0.05204974114582168,0.009883617425215211,0.009921796389368158,0.0010528650511402466,0.00013881341408225202,0.00019575058531575833,0.013258448050286744,0.0012009871237420127,0.0015295912987654929,0.000637282230345149,0.0010717427693727741,0.00020548549873175884,0.928500982211893,0.46735459566116333,4.168934466496728,1.9626556238995396,0.46846529841423035,-0.9847369740276015,1.6473604493109006,0.46670466661453247,-0.6604312857064225,1.625400821257702,0.4667971730232239,-0.3077387464910597,1.9197542453002687,0.46824076771736145,-0.5971505094177387,1.960709342859936,0.46706461906433105,-0.7666669617986668,1.935415612718404,0.4667149484157562,-0.5839713157287676,1.6616461528963018,0.4675658345222473,0.24192935334312482
28.000224,0.0006022110908106868,0.0006377647940334679,0.00028634087853895323,0.0012389874385630901,0.00035358846341463837,0.0010189243157308,0.00012897651394063752,0.00010230377147175008,0.0003031335493513936,0.01022575808644801,0.0006928315652965698,0.0051427148423755795,0.0004333095650127901,0.00009420917511767766,0.0001236460144241948,0.0024139031354500603,0.0004244388340583251,0.0009071348198233276,0.00020126119265819958,0.00039581111041928074,0.00001746915281090043,0.9715806573580282,0.4660455882549286,4.138461276940921,1.9970510474987313,0.4713262915611267,-1.021556044903715,1.6826169016883497,0.46638059616088867,-0.6343201678059338,1.602516257278445,0.46648404002189636,-0.22644772778384636,1.8541067877523003,0.4626469314098358,-0.24863288929003735,1.939774360365004,0.4666883647441864,-0.6973571867444659,1.676123790114713,0.465160608291626,-0.01851584513448401,1.6850085236989678,0.46826568245887756,0.06321142453000395
29.600237,0.002851267648220238,0.0012570347656611046,0.0017150127399841399,0.007530701444866237,0.0023838667620348533,0.00007074337859410391,0.00023030873997578825,0.0004562231113817413,0.00010957668317644006,0.05843959540438481,0.007248082074699649,0.005113478944885978,0.0012927690874261206,0.002089337726184764,0.00020326244343742725,0.015402374527576798,0.002433712004542963,0.00028296298490954557,0.000713592102509123,0.0018340567589913202,0.00009662237043396953,0.9434207345170325,0.46939748525619507,3.9679744831452943,1.9811072444470978,0.47205254435539246,-0.9985704220374911,1.6322741296061272,0.4690699577331543,-0.6129340445954203,1.6593942295357238,0.46917951107025146,-0.20761107482532903,1.9218753740948602,0.4655967056751251,-0.34025954854498996,1.9181026147958706,0.4694031774997711,-0.7152184001627795,1.713411079448279,0.4677622616291046,0.08691339955897481,1.6873761899247703,0.4711560606956482,0.018236036777608433
31.600253,0.00025295621663157654,0.0019060548341405849,0.0007743169841338733,0.00590179091423257,0.002845357957067167,0.0007855234839045372,0.00011738196677820252,0.0004042070104642922,0.00017638832143175622,0.060608773019205926,0.006867386207565425,0.0026947618986542963,0.0008022207801931932,0.000042479604910838465,0.00015264483766423448,0.01762674902658952,0.0017328608678489842,0.0009279683945394722,0.0006554129967143197,0.0015071521313080067,0.000028851949557739457,0.8648540074818606,0.44357404112815857,3.814003865163982,1.9715399442973134,0.4424760937690735,-1.000173081547809,1.6793686117627542,0.4429796040058136,-0.5277829050875265,1.6363272243741867,0.44311022758483887,-0.1597380887267117,1.854548387092479,0.4389100968837738,-0.20324907623696786,1.9842040492063242,0.44336703419685364,-0.8648666113625181,1.634180781319013,0.4362122714519501,0.009730167387349997,1.7626691303661197,0.444594144821167,-0.10090632349277362
33.600269,0.0015548364871116286,0.0012961919926363582,0.0007510945125968719,0.004715243887601428,0.002574013269039066,0.0004360417585156288,0.00027061689056628245,0.0003856240853038291,0.000325041828079157,0.03699105001351773,0.007386565243786175,0.00324786460899441,0.0006437984926889024,0.00020146944906867156,0.00019479796229947502,0.01079088007916377,0.0028815830977484773,0.0005868423921582806,0.0004390675479451395,0.0014098291178162052,0.00010280531239404294,0.6317009039162793,0.4036561846733093,3.819174545168484,2.0259387347270623,0.4043210744857788,-1.0267380026016664,1.6240736587236446,0.403899610042572,-0.4892768530055922,1.556874941764193,0.40401098132133484,-0.062431228677176875,2.057143092247677,0.40243664383888245,-0.9603256377560716,1.9749498058876593,0.40428757667541504,-0.881080663017364,2.019228923744719,0.4025830924510956,-1.1382010609527502,1.707973307479228,0.4053027331829071,0.04364679339201638
36.000288,0.0029638840062600684,0.000666769301671326,0.0024370992204762877,0.004199901915803069,0.002740449013317383,0.0006008198075880699,0.00026252660730360927,0.0004305907846155425,0.00037731866107351334,0.017807434706278002,0.009606783783060116,0.003575623249849314,0.0003766272106047635,0.00028280146786751297,0.00004147578863849553,0.00449944563129126,0.004043490700448867,0.00036140336902279496,0.0003670855441879748,0.0015450659285915168,0.00020048086867230857,0.7947483937611348,0.45080313086509705,3.734663941437045,1.940107922277877,0.4540034830570221,-0.8546841646894636,1.6531767828333908,0.4509841799736023,-0.4850116253664498,1.5634650771842296,0.45111197233200073,-0.09776742209162537,2.0135784520283444,0.4613499045372009,-0.8579950289480633,1.8760253617197564,0.45141637325286865,-0.7763112097938127,1.8139970173664348,0.4530715346336365,-0.40606683747765704,1.6959602153939908,0.4524984061717987,0.1507079930357631
38.400307,0.007701417469222355,0.0020996693360488517,0.008175421271546066,0.01505537197613519,0.007817751397140228,0.002083282773327878,0.0009129960290632063,0.0018221227498279213,0.0011489605371039038,0.061521267254096165,0.03175706274607401,0.01572316303093392,0.001333183266972447,0.000711615560299404,0.000301700009720609,0.013207224157665658,0.013671133555565304,0.003609446013656055,0.0020524854546325037,0.0058447437695014065,0.000609856275364519,0.8323382446962293,0.4430023431777954,3.59573420211787,1.9177722938659088,0.44338634610176086,-0.8132510346376867,1.6278588104201328,0.4429270625114441,-0.6177841319819559,1.4964630908450736,0.4429887533187866,0.01717440231339573,1.8264830980810924,0.4518229365348816,0.010904408100095964,1.951881205228789,0.4432390630245209,-0.8799696090355469,1.7858407633991975,0.44777098298072815,-0.2335456711300612,1.7034139398274937,0.4444333016872406,0.13522942844170505
39.600317,0.006003993789280979,0.0020373968323972357,0.008850346701753145,0.01463138080885532,0.00813275356516371,0.0033945854087043953,0.0008446665634385171,0.0018342273839995612,0.0012616039694627146,0.04101480246573283,0.03798599922710428,0.016254643310923463,0.0007265859974332851,0.0009488608365139019,0.00035471794837310926,0.006518782991386371,0.01545903822244989,0.004867105059863889,0.0020709950398727353,0.005562609927016191,0.0008098379117111166,0.9899706602882152,0.440399706363678,3.570243899447294,1.9313195255674558,0.44036027789115906,-0.7907462863468027,1.661620470612712,0.4403991401195526,-0.5951456655402785,1.538728394209386,0.44050076603889465,-0.011450480044822076,1.8319059205596506,0.43748408555984497,-0.4878345718432038,1.958160214144422,0.44076335430145264,-0.8969331030703129,1.6478404994536409,0.4383566677570343,-0.2853391795557454,1.7087978562173975,0.4419573247432709,0.18026395254686323
42.400339,0.007369723568730889,0.0005550344792106503,0.0023311557228127516,0.011331523306566097,0.0014172323966614223,0.000998178321825293,0.0009413164205214881,0.0003267000845229541,0.0002659650358536883,0.038790806231409826,0.006756208674025985,0.004577232228781443,0.0007779196047796294,0.00016269925746739558,0.000045541615064992064,0.00530598956896782,0.002696541114949882,0.000849458663953329,0.0013848960453239905,0.0009390693327164159,0.00018284032004496834,0.8129065280189394,0.43265289068222046,3.432990129858381,1.9234480147720463,0.43331438302993774,-0.8169511489291184,1.6348009300587372,0.43244171142578125,-0.6103130067176958,1.6001258649279555,0.4325326681137085,-0.06162364635551576,1.6904061707064535,0.4332045316696167,0.22109688946974604,1.9575037809208795,0.4327748417854309,-0.9223465463398925,1.5274706515963243,0.43532606959342957,0.6209180671416847,1.7321551938386677,0.4338270127773285,0.10855980228821727
